,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
600,Palais-Bourbon,48.86159615,2.3179092733655935,Restaurant Le Concorde,48.86119630044248,2.3202301561832424,French Restaurant
601,Palais-Bourbon,48.86159615,2.3179092733655935,Rosa Bonheur sur Seine,48.86322568698965,2.315520425767086,Beer Garden
602,Palais-Bourbon,48.86159615,2.3179092733655935,Berges de Seine – Rive gauche,48.8630533475824,2.3135475165272785,Pedestrian Plaza
603,Palais-Bourbon,48.86159615,2.3179092733655935,Esplanade des Invalides,48.86055924945091,2.313549880380462,Plaza
604,Palais-Bourbon,48.86159615,2.3179092733655935,Chez Françoise,48.86192434688699,2.3144443797783487,French Restaurant
605,Palais-Bourbon,48.86159615,2.3179092733655935,Musée de l'Orangerie,48.86379017505446,2.322664260864258,Art Museum
606,Palais-Bourbon,48.86159615,2.3179092733655935,Le Concorde,48.861234,2.32023,French Restaurant
607,Palais-Bourbon,48.86159615,2.3179092733655935,Promenade des Berges de la Seine – André Gorz,48.86190565909944,2.3221492767333984,Pedestrian Plaza
608,Palais-Bourbon,48.86159615,2.3179092733655935,Da Rocco,48.85761870685993,2.3172763175229636,Italian Restaurant
609,Palais-Bourbon,48.86159615,2.3179092733655935,Place des Invalides,48.85863052623177,2.3129439353942867,Plaza
610,Palais-Bourbon,48.86159615,2.3179092733655935,Place de la Concorde,48.8655899274154,2.321215867996216,Plaza
611,Palais-Bourbon,48.86159615,2.3179092733655935,Garance,48.86000692667597,2.315283874562083,French Restaurant
612,Palais-Bourbon,48.86159615,2.3179092733655935,Le Bourbon,48.860626335829316,2.318962812423706,French Restaurant
613,Palais-Bourbon,48.86159615,2.3179092733655935,Le Divellec,48.860940430438774,2.311804102265002,French Restaurant
614,Palais-Bourbon,48.86159615,2.3179092733655935,Place du Palais Bourbon,48.86058983027663,2.3182921943883255,Plaza
615,Palais-Bourbon,48.86159615,2.3179092733655935,Jardin du Petit Palais,48.86601905580683,2.3149474856781818,Garden
616,Palais-Bourbon,48.86159615,2.3179092733655935,Petit Palais,48.86608804625579,2.314581208994198,Historic Site
617,Palais-Bourbon,48.86159615,2.3179092733655935,Mini Palais,48.865156,2.313022,French Restaurant
618,Palais-Bourbon,48.86159615,2.3179092733655935,Le 122,48.85713867333191,2.3191204144678017,French Restaurant
619,Palais-Bourbon,48.86159615,2.3179092733655935,Le Narcisse Blanc Hôtel,48.86053722059414,2.3104867300377143,Hotel
620,Palais-Bourbon,48.86159615,2.3179092733655935,Grand Palais,48.86611219637595,2.3126220703125,Historic Site
621,Palais-Bourbon,48.86159615,2.3179092733655935,Amorino,48.86421536708272,2.324462294850483,Ice Cream Shop
622,Palais-Bourbon,48.86159615,2.3179092733655935,Musée d'Orsay,48.85999283813253,2.3263871669769287,Art Museum
623,Palais-Bourbon,48.86159615,2.3179092733655935,Librairie du Musée d'Orsay,48.86003108965947,2.3261019732284596,Bookstore
624,Palais-Bourbon,48.86159615,2.3179092733655935,Fontaine des Mers,48.86498947276405,2.3207874713595387,Fountain
625,Palais-Bourbon,48.86159615,2.3179092733655935,Jardin de Paris,48.866530530512435,2.316106728178412,Garden
626,Palais-Bourbon,48.86159615,2.3179092733655935,David Toutain,48.86019458411276,2.3096224857629672,French Restaurant
627,Palais-Bourbon,48.86159615,2.3179092733655935,Square Samuel Rousseau,48.85895371125725,2.3197000699668844,Park
628,Palais-Bourbon,48.86159615,2.3179092733655935,Jardin du Musée Rodin,48.85583847334092,2.3158099297222425,Garden
629,Palais-Bourbon,48.86159615,2.3179092733655935,Jardin des Tuileries,48.863641957269515,2.326483726501465,Garden
630,Palais-Bourbon,48.86159615,2.3179092733655935,Hôtel National des Invalides – Musée de l'Armée (Hôtel National des Invalides),48.856816405674856,2.3127615451812744,Historic Site
631,Palais-Bourbon,48.86159615,2.3179092733655935,Hôtel de Crillon,48.867329626506944,2.321140766143799,Hotel
632,Palais-Bourbon,48.86159615,2.3179092733655935,Jardin des Ambassadeurs,48.867213177949374,2.317514419555664,Garden
633,Palais-Bourbon,48.86159615,2.3179092733655935,Jeu de Paume,48.865906222068894,2.323751577280116,Art Museum
634,Palais-Bourbon,48.86159615,2.3179092733655935,Galerie des Impressionistes,48.85991111668006,2.326459952503812,Exhibit
635,Palais-Bourbon,48.86159615,2.3179092733655935,Bar Les Ambassadeurs,48.86704937392245,2.321023651843236,Hotel Bar
636,Palais-Bourbon,48.86159615,2.3179092733655935,Alléno Paris au Pavillon Ledoyen,48.86611166972762,2.316349255222557,French Restaurant
637,Palais-Bourbon,48.86159615,2.3179092733655935,Jardin Clemenceau,48.8668038414753,2.314939498901367,Garden
638,Palais-Bourbon,48.86159615,2.3179092733655935,Musée Rodin,48.85538341572399,2.3158621788024902,Art Museum
639,Palais-Bourbon,48.86159615,2.3179092733655935,Maison de l'Amérique Latine,48.857430438014745,2.3239642046530755,Historic Site
640,Palais-Bourbon,48.86159615,2.3179092733655935,Fitzgerald,48.858561703791764,2.3098137974739075,Cocktail Bar
641,Palais-Bourbon,48.86159615,2.3179092733655935,Square d'Ajaccio,48.85757876784794,2.3146498203277583,Park
642,Palais-Bourbon,48.86159615,2.3179092733655935,Jardins des Champs-Élysées,48.86785025032083,2.314540838373373,Garden
643,Palais-Bourbon,48.86159615,2.3179092733655935,Mozza & Co,48.86163163600402,2.3232838990724054,Food Truck
644,Palais-Bourbon,48.86159615,2.3179092733655935,Auguste,48.85629115451279,2.317096938777801,French Restaurant
645,Palais-Bourbon,48.86159615,2.3179092733655935,Musée de l'Armée,48.856512869355804,2.3127293586730957,History Museum
646,Palais-Bourbon,48.86159615,2.3179092733655935,Fontaine des Fleuves,48.86599221615107,2.321505546569824,Fountain
647,Palais-Bourbon,48.86159615,2.3179092733655935,Café Le Jardin du Petit Palais,48.8660350672302,2.314743723943765,Café
648,Palais-Bourbon,48.86159615,2.3179092733655935,Musée de la Légion d'Honneur,48.86029963778645,2.325002751128892,History Museum
649,Palais-Bourbon,48.86159615,2.3179092733655935,Arpège,48.85571201275633,2.316919515331754,Vegetarian / Vegan Restaurant
650,Palais-Bourbon,48.86159615,2.3179092733655935,Café de l'Esplanade,48.85829011894279,2.3110073804855347,French Restaurant
651,Palais-Bourbon,48.86159615,2.3179092733655935,Cinq Mars,48.85865311571718,2.3269723638409308,French Restaurant
652,Palais-Bourbon,48.86159615,2.3179092733655935,Jaïs,48.862060940250196,2.3094074428081512,Restaurant
653,Palais-Bourbon,48.86159615,2.3179092733655935,Statue de Winston Churchill,48.86528787347928,2.3139574093501647,Outdoor Sculpture
654,Palais-Bourbon,48.86159615,2.3179092733655935,Le Jardin d'Hiver,48.867393,2.321239,Tea Room
655,Palais-Bourbon,48.86159615,2.3179092733655935,Pierre Hermé,48.866577630454685,2.325458970070264,Pastry Shop
656,Palais-Bourbon,48.86159615,2.3179092733655935,The Club,48.86037971916395,2.3095647659646033,American Restaurant
657,Palais-Bourbon,48.86159615,2.3179092733655935,Nicole’s,48.8592475852471,2.3238116498296177,Italian Restaurant
658,Palais-Bourbon,48.86159615,2.3179092733655935,Le Basilic,48.85765306225518,2.318941354751587,French Restaurant
659,Palais-Bourbon,48.86159615,2.3179092733655935,Issey Miyake,48.867874626577866,2.3223534434833555,Boutique
660,Palais-Bourbon,48.86159615,2.3179092733655935,Es,48.85644211823811,2.3213307555400546,French Restaurant
661,Palais-Bourbon,48.86159615,2.3179092733655935,WHSmith,48.86620819555761,2.325052118828308,Bookstore
662,Palais-Bourbon,48.86159615,2.3179092733655935,Cercle de l'Union Interalliée,48.86896340648426,2.3199498653411865,Lounge
663,Palais-Bourbon,48.86159615,2.3179092733655935,Galerie d'Art Primitif Africain        Art Gallery l'Oeil et la Main     Expert,48.857997,2.328082,Art Gallery
664,Palais-Bourbon,48.86159615,2.3179092733655935,Cercle Suédois - Svenska Klubben,48.866009843905864,2.3255255480227746,Scandinavian Restaurant
665,Palais-Bourbon,48.86159615,2.3179092733655935,Cuppa Café,48.859361,2.32351,Coffee Shop
666,Palais-Bourbon,48.86159615,2.3179092733655935,Galeries Nationales du Grand Palais,48.8660528649705,2.3124573952684635,Art Gallery
667,Palais-Bourbon,48.86159615,2.3179092733655935,Grand Bassin Rond,48.862879687441755,2.3292946815490723,Fountain
668,Palais-Bourbon,48.86159615,2.3179092733655935,Buddha Bar,48.86817812534899,2.32149708662625,Asian Restaurant
669,Palais-Bourbon,48.86159615,2.3179092733655935,Maxim's,48.86736491389516,2.3220956325531006,French Restaurant
670,Palais-Bourbon,48.86159615,2.3179092733655935,Le Moulin de La Vierge,48.85987328470359,2.3086817101729964,Bakery
671,Palais-Bourbon,48.86159615,2.3179092733655935,Hôtel Sofitel Paris Le Faubourg,48.868410298638096,2.321348411079157,Hotel
672,Palais-Bourbon,48.86159615,2.3179092733655935,LECLAIREUR Boissy d'Anglas,48.86829818595697,2.3215737661782034,Clothing Store
673,Palais-Bourbon,48.86159615,2.3179092733655935,Musée des Beaux-Arts de la Ville de Paris,48.86633660714573,2.3149341344833374,Art Museum
674,Palais-Bourbon,48.86159615,2.3179092733655935,Gucci,48.86856114163442,2.323004901409149,Boutique
675,Palais-Bourbon,48.86159615,2.3179092733655935,La Maison Champs-Élysées,48.8665732379619,2.309149955435133,Hotel
676,Palais-Bourbon,48.86159615,2.3179092733655935,Tombeau de Napoléon,48.85486460293986,2.3124457204219877,Historic Site
677,Palais-Bourbon,48.86159615,2.3179092733655935,Librairie Galignani,48.864989,2.32857,Bookstore
678,Palais-Bourbon,48.86159615,2.3179092733655935,Le Dalí,48.865196171140816,2.3280952127483943,French Restaurant
679,Palais-Bourbon,48.86159615,2.3179092733655935,Marzo,48.85611056365499,2.325277288072356,Pizza Place
680,Palais-Bourbon,48.86159615,2.3179092733655935,Moncler,48.868546600752346,2.3223620468265835,Boutique
681,Palais-Bourbon,48.86159615,2.3179092733655935,Toraya,48.86765460035689,2.324552536010742,Tea Room
682,Palais-Bourbon,48.86159615,2.3179092733655935,L'Ami Jean,48.860296563890564,2.305888511863262,French Restaurant
683,Palais-Bourbon,48.86159615,2.3179092733655935,Place Clemenceau,48.867518075367414,2.313581393406021,Plaza
684,Palais-Bourbon,48.86159615,2.3179092733655935,Auberge Bressane,48.85651695863092,2.3088000833678404,French Restaurant
685,Palais-Bourbon,48.86159615,2.3179092733655935,Hôtel Le Meurice,48.8653326,2.3281374,Hotel
686,Palais-Bourbon,48.86159615,2.3179092733655935,Honor,48.86963424683623,2.31959596356195,Coffee Shop
687,Palais-Bourbon,48.86159615,2.3179092733655935,Angelina,48.865089750224186,2.3284433919743606,Tea Room
688,Palais-Bourbon,48.86159615,2.3179092733655935,Marina de Paris,48.86094627855665,2.325949468586616,Boat or Ferry
689,Palais-Bourbon,48.86159615,2.3179092733655935,Prada,48.868611253922815,2.3226257518213766,Women's Store
690,Palais-Bourbon,48.86159615,2.3179092733655935,Lasserre,48.86627508768674,2.3101569700324203,French Restaurant
691,Palais-Bourbon,48.86159615,2.3179092733655935,Hôtel Mandarin Oriental,48.86698662076993,2.327178418636322,Hotel
692,Palais-Bourbon,48.86159615,2.3179092733655935,Les Climats,48.85888784727665,2.328288904811062,French Restaurant
693,Palais-Bourbon,48.86159615,2.3179092733655935,Le Restaurant du Musée d'Orsay,48.86029986248957,2.325392316832362,French Restaurant
694,Palais-Bourbon,48.86159615,2.3179092733655935,Hôtel Les Jardins Eiffel,48.85917345473579,2.307351772817556,Hotel
695,Palais-Bourbon,48.86159615,2.3179092733655935,Boulangerie Nelly Julien,48.85979585991686,2.307833486040391,Bakery
696,Palais-Bourbon,48.86159615,2.3179092733655935,Yves Saint Laurent,48.86915951645288,2.3205745739481367,Women's Store
697,Palais-Bourbon,48.86159615,2.3179092733655935,Noglu,48.855123,2.324247,Gluten-free Restaurant
698,Palais-Bourbon,48.86159615,2.3179092733655935,Bellota Bellota,48.86043766875018,2.3073695523046847,Spanish Restaurant
699,Palais-Bourbon,48.86159615,2.3179092733655935,Ladurée,48.8684378,2.3236443,Dessert Shop
700,Élysée,48.8466437,2.3698297,Les Embruns,48.847099668399075,2.3718830975599947,Creperie
701,Élysée,48.8466437,2.3698297,Rue Crémieux,48.847021136661,2.3711103200912476,Pedestrian Plaza
702,Élysée,48.8466437,2.3698297,Objectif Bastille,48.848819,2.369701,Camera Store
703,Élysée,48.8466437,2.3698297,Hôtel citizenM Paris Gare de Lyon,48.84383973736041,2.3714794382463573,Hotel
704,Élysée,48.8466437,2.3698297,L'Express de Lyon,48.84603991576019,2.372019588947296,Beer Bar
705,Élysée,48.8466437,2.3698297,Viaduc des Arts,48.84866364307922,2.372931108081189,Bridge
706,Élysée,48.8466437,2.3698297,Promenade plantée – La Coulée Verte,48.84763185268721,2.3751068115234375,Trail
707,Élysée,48.8466437,2.3698297,Écluse de l'Arsenal,48.847286,2.365624,Canal Lock
708,Élysée,48.8466437,2.3698297,Le Train Bleu,48.8448359913533,2.3736382659717994,French Restaurant
709,Élysée,48.8466437,2.3698297,Courtyard by Marriott Paris Gare de Lyon,48.84509806469999,2.3713477553098983,Hotel
710,Élysée,48.8466437,2.3698297,Hôtel Marceau Bastille,48.84899680817392,2.369871927037675,Hotel
711,Élysée,48.8466437,2.3698297,Le Calbar,48.848702427166685,2.3754872723428693,Cocktail Bar
712,Élysée,48.8466437,2.3698297,OFF Paris Seine - Hôtel flottant,48.842823143946674,2.367939743057754,Hotel
713,Élysée,48.8466437,2.3698297,Yachts de Paris,48.84791426220394,2.3633265495300293,Boat or Ferry
714,Élysée,48.8466437,2.3698297,Le Pop-Up du Label,48.8474970172414,2.3754834905747737,Bar
715,Élysée,48.8466437,2.3698297,Le China,48.849966771916584,2.3737785445166506,Cocktail Bar
716,Élysée,48.8466437,2.3698297,Gamelle,48.84811705000827,2.3746682703495026,Bar
717,Élysée,48.8466437,2.3698297,CitizenM Rooftop bar,48.84357312383243,2.371192781415333,Hotel Bar
718,Élysée,48.8466437,2.3698297,Boulangerie bo,48.849088,2.375027,Bakery
719,Élysée,48.8466437,2.3698297,Barapapa,48.8421212302412,2.371372319349501,Beer Garden
720,Élysée,48.8466437,2.3698297,Pret A Manger,48.84496323991977,2.3739071058299523,Sandwich Place
721,Élysée,48.8466437,2.3698297,Supersonic,48.85026572254583,2.3697217372873,Music Venue
722,Élysée,48.8466437,2.3698297,Passerini,48.84933687592393,2.3747527599334717,Italian Restaurant
723,Élysée,48.8466437,2.3698297,Dersou,48.851418330777996,2.3746915787693856,Asian Restaurant
724,Élysée,48.8466437,2.3698297,Esplanade Lamarck,48.844002083584904,2.363512162045022,Plaza
725,Élysée,48.8466437,2.3698297,Pizza Julia,48.85160303116239,2.3719783006728337,Pizza Place
726,Élysée,48.8466437,2.3698297,Galerie de Paléontologie et d'Anatomie comparée,48.843217973248855,2.363335878115074,Science Museum
727,Élysée,48.8466437,2.3698297,Le Baron Rouge,48.849404,2.377445,Wine Bar
728,Élysée,48.8466437,2.3698297,Les Garnements,48.84773088401315,2.373750766136452,Restaurant
729,Élysée,48.8466437,2.3698297,Marché d'Aligre,48.84886322665162,2.3780834774430297,Farmers Market
730,Élysée,48.8466437,2.3698297,Maguey,48.847458173166515,2.3775502805805897,French Restaurant
731,Élysée,48.8466437,2.3698297,Chez Papa,48.85058963699485,2.368768648916627,Southwestern French Restaurant
732,Élysée,48.8466437,2.3698297,Amarante,48.84950122796759,2.369912814338863,French Restaurant
733,Élysée,48.8466437,2.3698297,Opéra Bastille,48.85234082322526,2.3702841997146606,Opera House
734,Élysée,48.8466437,2.3698297,Blé Sucré,48.850499,2.376807,Bakery
735,Élysée,48.8466437,2.3698297,Nove,48.85248522975408,2.3742679253709458,Italian Restaurant
736,Élysée,48.8466437,2.3698297,L'Arbre à Lettres,48.8518445313223,2.3734331130981445,Bookstore
737,Élysée,48.8466437,2.3698297,Café Ginger,48.852887,2.367354,Vegetarian / Vegan Restaurant
738,Élysée,48.8466437,2.3698297,Aux Cadrans,48.84596,2.373006,French Restaurant
739,Élysée,48.8466437,2.3698297,Maria Loca,48.852122537323886,2.365666920222009,Cocktail Bar
740,Élysée,48.8466437,2.3698297,Sardegna a Tavola,48.84828117544313,2.3768312295679515,Italian Restaurant
741,Élysée,48.8466437,2.3698297,Concrete,48.843294983100236,2.3695900499996267,Nightclub
742,Élysée,48.8466437,2.3698297,Pavillon de l'Arsenal,48.85065016214532,2.362340470390449,Museum
743,Élysée,48.8466437,2.3698297,East Mamma,48.85108955085416,2.3777425657804128,Italian Restaurant
744,Élysée,48.8466437,2.3698297,Marks & Spencer Food,48.851695891295265,2.3764251706466313,Food & Drink Shop
745,Élysée,48.8466437,2.3698297,Le Social Bar,48.841753843087794,2.3753589391708374,Beer Bar
746,Élysée,48.8466437,2.3698297,Hôtel Novotel Paris Gare de Lyon,48.84530990025627,2.375463488038463,Hotel
747,Élysée,48.8466437,2.3698297,Berliner Wunderbar,48.85301076887723,2.374224550409624,Bar
748,Élysée,48.8466437,2.3698297,Will,48.849674635072844,2.379503280394026,French Restaurant
749,Élysée,48.8466437,2.3698297,La table d'Aligre,48.8489233000748,2.3782942745825886,French Restaurant
750,Élysée,48.8466437,2.3698297,Café de la Presse,48.850369460426656,2.368881539619165,Bar
751,Élysée,48.8466437,2.3698297,Gusto,48.84573084218383,2.379952222108841,Italian Restaurant
752,Élysée,48.8466437,2.3698297,Jardin des Plantes,48.8434378839195,2.3595070838928223,Botanical Garden
753,Élysée,48.8466437,2.3698297,Keep Cool,48.85208479878069,2.3633714946624815,Gym
754,Élysée,48.8466437,2.3698297,Place de la Bastille,48.85312443201169,2.3691415786743164,Plaza
